timestamp,confidence,type
1556936555494,0.01,ON_BICYCLE
1556936555494,0.01,STILL
1556936555494,0.01,UNKNOWN
1556936555494,0.01,RUNNING
1556936564214,0.52,ON_FOOT
1556936564214,0.52,WALKING
1556936564214,0.21,UNKNOWN
1556936564214,0.06,IN_VEHICLE
1556936564214,0.06,STILL
1556936564214,0.06,RUNNING
1556936564214,0.05,ON_BICYCLE
1556936577223,0.48,ON_FOOT
1556936577223,0.48,WALKING
1556936577223,0.21,UNKNOWN
1556936577223,0.08,IN_VEHICLE
1556936577223,0.06,ON_BICYCLE
1556936577223,0.06,STILL
1556936577223,0.06,RUNNING
1556936590461,0.47,ON_FOOT
1556936590461,0.47,WALKING
1556936590461,0.21,UNKNOWN
1556936590461,0.09,STILL
1556936590461,0.07,ON_BICYCLE
1556936590461,0.06,IN_VEHICLE
1556936590461,0.06,RUNNING
1556936594578,0.91,ON_FOOT
1556936594578,0.91,WALKING
1556936594578,0.03,UNKNOWN
1556936594578,0.02,IN_VEHICLE
1556936594578,0.01,ON_BICYCLE
1556936594578,0.01,STILL
1556936594578,0.01,RUNNING
1556936598558,0.92,ON_FOOT
1556936598558,0.92,WALKING
1556936598558,0.02,IN_VEHICLE
1556936598558,0.02,STILL
1556936598558,0.02,UNKNOWN
1556936598558,0.01,ON_BICYCLE
1556936602575,0.94,ON_FOOT
1556936602575,0.94,WALKING
1556936602575,0.03,UNKNOWN
1556936602575,0.02,RUNNING
1556936602575,0.01,ON_BICYCLE
1556936609700,0.97,ON_FOOT
1556936609700,0.97,WALKING
1556936609700,0.02,UNKNOWN
1556936609700,0.01,RUNNING
1556936630375,0.33,ON_FOOT
1556936630375,0.33,WALKING
1556936630375,0.27,UNKNOWN
1556936630375,0.1,STILL
1556936630375,0.08,IN_VEHICLE
1556936630375,0.07,ON_BICYCLE
1556936630375,0.07,RUNNING
1556936641252,1.0,TILTING
1556936652129,0.35,ON_FOOT
1556936652129,0.35,WALKING
1556936652129,0.27,UNKNOWN
1556936652129,0.08,IN_VEHICLE
1556936652129,0.08,ON_BICYCLE
1556936652129,0.07,STILL
1556936652129,0.07,RUNNING
1556936681989,0.31,UNKNOWN
1556936681989,0.17,STILL
1556936681989,0.13,IN_VEHICLE
1556936681989,0.13,ON_FOOT
1556936681989,0.13,WALKING
1556936681989,0.08,ON_BICYCLE
1556936681989,0.08,RUNNING
1556936721694,0.31,UNKNOWN
1556936721694,0.3,IN_VEHICLE
1556936721694,0.08,ON_BICYCLE
1556936721694,0.08,ON_FOOT
1556936721694,0.08,STILL
1556936721694,0.08,WALKING
1556936721694,0.08,RUNNING
1556936758894,0.42,IN_VEHICLE
1556936758894,0.21,UNKNOWN
1556936758894,0.11,ON_FOOT
1556936758894,0.11,WALKING
1556936758894,0.08,STILL
1556936758894,0.06,ON_BICYCLE
1556936758894,0.05,RUNNING
1556936795672,0.4,UNKNOWN
1556936795672,0.1,IN_VEHICLE
1556936795672,0.1,ON_BICYCLE
1556936795672,0.1,ON_FOOT
1556936795672,0.1,STILL
1556936795672,0.1,WALKING
1556936795672,0.1,RUNNING
1556936815907,1.0,TILTING
1556936836142,0.31,UNKNOWN
1556936836142,0.27,IN_VEHICLE
1556936836142,0.1,ON_FOOT
1556936836142,0.1,WALKING
1556936836142,0.09,STILL
1556936836142,0.08,ON_BICYCLE
1556936836142,0.08,RUNNING
1556936886985,0.6,ON_FOOT
1556936886985,0.6,WALKING
1556936886985,0.17,UNKNOWN
1556936886985,0.06,RUNNING
1556936886985,0.05,ON_BICYCLE
1556936886985,0.04,IN_VEHICLE
1556936886985,0.04,STILL
1556936893327,1.0,TILTING
1556936899668,0.55,ON_FOOT
1556936899668,0.55,WALKING
1556936899668,0.2,UNKNOWN
1556936899668,0.05,IN_VEHICLE
1556936899668,0.05,ON_BICYCLE
1556936899668,0.05,STILL
1556936899668,0.05,RUNNING
1556936906477,1.0,TILTING
1556936913286,0.88,ON_FOOT
1556936913286,0.88,WALKING
1556936913286,0.03,IN_VEHICLE
1556936913286,0.02,ON_BICYCLE
1556936913286,0.02,STILL
1556936913286,0.02,UNKNOWN
1556936913286,0.02,RUNNING
1556936916931,0.83,ON_FOOT
1556936916931,0.83,WALKING
1556936916931,0.04,IN_VEHICLE
1556936916931,0.04,STILL
1556936916931,0.03,UNKNOWN
1556936916931,0.02,ON_BICYCLE
1556936916931,0.02,RUNNING
1556936920460,0.77,ON_FOOT
1556936920460,0.77,WALKING
1556936920460,0.13,IN_VEHICLE
1556936920460,0.04,STILL
1556936920460,0.02,ON_BICYCLE
1556936920460,0.01,UNKNOWN
1556936920460,0.01,RUNNING
1556936933003,0.5,ON_FOOT
1556936933003,0.5,WALKING
1556936933003,0.21,UNKNOWN
1556936933003,0.06,IN_VEHICLE
1556936933003,0.06,ON_BICYCLE
1556936933003,0.06,STILL
1556936933003,0.06,RUNNING
1556936937514,0.94,ON_FOOT
1556936937514,0.94,WALKING
1556936937514,0.04,RUNNING
1556936937514,0.01,ON_BICYCLE
1556936937514,0.01,UNKNOWN
1556936941480,0.9,ON_FOOT
1556936941480,0.9,WALKING
1556936941480,0.02,IN_VEHICLE
1556936941480,0.02,STILL
1556936941480,0.02,UNKNOWN
1556936941480,0.02,RUNNING
1556936941480,0.01,ON_BICYCLE
1556936947794,1.0,TILTING
1556936954108,0.55,ON_FOOT
1556936954108,0.55,WALKING
1556936954108,0.2,UNKNOWN
1556936954108,0.05,IN_VEHICLE
1556936954108,0.05,ON_BICYCLE
1556936954108,0.05,STILL
1556936954108,0.05,RUNNING
1556936956390,1.0,TILTING
1556936958672,0.97,ON_FOOT
1556936958672,0.97,WALKING
1556936958672,0.02,UNKNOWN
1556936958672,0.01,RUNNING
1556936971314,1.0,TILTING
1556936983955,0.94,ON_FOOT
1556936983955,0.94,WALKING
1556936983955,0.03,UNKNOWN
1556936983955,0.01,IN_VEHICLE
1556936983955,0.01,ON_BICYCLE
1556936983955,0.01,RUNNING
1556936987964,0.94,ON_FOOT
1556936987964,0.94,WALKING
1556936987964,0.02,UNKNOWN
1556936987964,0.01,IN_VEHICLE
1556936987964,0.01,ON_BICYCLE
1556936987964,0.01,RUNNING
1556936991537,0.96,ON_FOOT
1556936991537,0.96,WALKING
1556936991537,0.03,UNKNOWN
1556936991537,0.01,RUNNING
1556936995620,0.95,ON_FOOT
1556936995620,0.95,WALKING
1556936995620,0.01,IN_VEHICLE
1556936995620,0.01,ON_BICYCLE
1556936995620,0.01,STILL
1556936995620,0.01,UNKNOWN
1556936995620,0.01,RUNNING
1556936999547,0.78,ON_FOOT
1556936999547,0.78,WALKING
1556936999547,0.07,ON_BICYCLE
1556936999547,0.06,IN_VEHICLE
1556936999547,0.03,STILL
1556936999547,0.03,RUNNING
1556936999547,0.01,UNKNOWN
1556937011634,0.49,ON_FOOT
1556937011634,0.49,WALKING
1556937011634,0.21,UNKNOWN
1556937011634,0.07,IN_VEHICLE
1556937011634,0.06,ON_BICYCLE
1556937011634,0.06,STILL
1556937011634,0.06,RUNNING
1556937015568,0.93,ON_FOOT
1556937015568,0.93,WALKING
1556937015568,0.02,RUNNING
1556937015568,0.01,IN_VEHICLE
1556937015568,0.01,ON_BICYCLE
1556937015568,0.01,STILL
1556937015568,0.01,UNKNOWN
1556937019546,0.89,ON_FOOT
1556937019546,0.89,WALKING
1556937019546,0.02,IN_VEHICLE
1556937019546,0.02,ON_BICYCLE
1556937019546,0.02,STILL
1556937019546,0.02,UNKNOWN
1556937019546,0.02,RUNNING
1556937023575,0.9,ON_FOOT
1556937023575,0.9,WALKING
1556937023575,0.06,RUNNING
1556937023575,0.03,UNKNOWN
1556937023575,0.01,ON_BICYCLE
1556937027526,0.76,ON_FOOT
1556937027526,0.76,WALKING
1556937027526,0.09,IN_VEHICLE
1556937027526,0.05,ON_BICYCLE
1556937027526,0.05,STILL
1556937027526,0.02,UNKNOWN
1556937027526,0.01,RUNNING
1556937029310,1.0,TILTING
1556937031094,0.96,ON_FOOT
1556937031094,0.96,WALKING
1556937031094,0.02,STILL
1556937031094,0.01,UNKNOWN
1556937031094,0.01,RUNNING
1556937048758,1.0,TILTING
1556937066421,0.4,UNKNOWN
1556937066421,0.1,IN_VEHICLE
1556937066421,0.1,ON_BICYCLE
1556937066421,0.1,ON_FOOT
1556937066421,0.1,STILL
1556937066421,0.1,WALKING
1556937066421,0.1,RUNNING
1556937076523,1.0,TILTING
1556937086625,0.29,ON_FOOT
1556937086625,0.29,WALKING
1556937086625,0.24,ON_BICYCLE
1556937086625,0.18,STILL
1556937086625,0.11,UNKNOWN
1556937086625,0.1,IN_VEHICLE
1556937086625,0.03,RUNNING
1556937111669,1.0,TILTING
1556937136713,0.31,UNKNOWN
1556937136713,0.15,STILL
1556937136713,0.13,IN_VEHICLE
1556937136713,0.12,ON_FOOT
1556937136713,0.12,WALKING
1556937136713,0.09,ON_BICYCLE
1556937136713,0.08,RUNNING
1556937147222,1.0,TILTING
1556937157731,0.33,ON_FOOT
1556937157731,0.33,WALKING
1556937157731,0.3,STILL
1556937157731,0.12,IN_VEHICLE
1556937157731,0.11,UNKNOWN
1556937157731,0.04,ON_BICYCLE
1556937157731,0.03,RUNNING
1556937194884,1.0,TILTING
1556937232036,0.92,STILL
1556937232036,0.04,ON_FOOT
1556937232036,0.04,WALKING
1556937232036,0.01,IN_VEHICLE
1556937232036,0.01,ON_BICYCLE
1556937232036,0.01,UNKNOWN
1556937285102,1.0,TILTING
1556937338167,0.42,ON_FOOT
