timestamp,confidence,type
1557535740453,1.0,STILL
1557537175088,1.0,STILL
1557541053540,0.96,STILL
1557541053540,0.02,IN_VEHICLE
1557541053540,0.01,UNKNOWN
1557541174198,1.0,TILTING
1557541281769,0.4,UNKNOWN
1557541281769,0.1,IN_VEHICLE
1557541281769,0.1,ON_BICYCLE
1557541281769,0.1,ON_FOOT
1557541281769,0.1,WALKING
1557541281769,0.1,RUNNING
1557541281769,0.1,STILL
1557541309050,0.4,UNKNOWN
1557541309050,0.1,IN_VEHICLE
1557541309050,0.1,ON_BICYCLE
1557541309050,0.1,ON_FOOT
1557541309050,0.1,WALKING
1557541309050,0.1,RUNNING
1557541309050,0.1,STILL
1557541332839,0.4,UNKNOWN
1557541332839,0.1,IN_VEHICLE
1557541332839,0.1,ON_BICYCLE
1557541332839,0.1,ON_FOOT
1557541332839,0.1,WALKING
1557541332839,0.1,RUNNING
1557541332839,0.1,STILL
1557541349270,0.4,UNKNOWN
1557541349270,0.1,IN_VEHICLE
1557541349270,0.1,ON_BICYCLE
1557541349270,0.1,ON_FOOT
1557541349270,0.1,WALKING
1557541349270,0.1,RUNNING
1557541349270,0.1,STILL
1557541364516,0.4,UNKNOWN
1557541364516,0.1,IN_VEHICLE
1557541364516,0.1,ON_BICYCLE
1557541364516,0.1,ON_FOOT
1557541364516,0.1,WALKING
1557541364516,0.1,RUNNING
1557541364516,0.1,STILL
1557541379824,0.4,UNKNOWN
1557541379824,0.1,IN_VEHICLE
1557541379824,0.1,ON_BICYCLE
1557541379824,0.1,ON_FOOT
1557541379824,0.1,WALKING
1557541379824,0.1,RUNNING
1557541379824,0.1,STILL
1557541395024,0.4,UNKNOWN
1557541395024,0.1,IN_VEHICLE
1557541395024,0.1,ON_BICYCLE
1557541395024,0.1,ON_FOOT
1557541395024,0.1,WALKING
1557541395024,0.1,RUNNING
1557541395024,0.1,STILL
1557541410348,0.4,UNKNOWN
1557541410348,0.1,IN_VEHICLE
1557541410348,0.1,ON_BICYCLE
1557541410348,0.1,ON_FOOT
1557541410348,0.1,WALKING
1557541410348,0.1,RUNNING
1557541410348,0.1,STILL
1557541425542,0.4,UNKNOWN
1557541425542,0.1,IN_VEHICLE
1557541425542,0.1,ON_BICYCLE
1557541425542,0.1,ON_FOOT
1557541425542,0.1,WALKING
1557541425542,0.1,RUNNING
1557541425542,0.1,STILL
1557541440742,0.9,IN_VEHICLE
1557541440742,0.03,UNKNOWN
1557541440742,0.01,ON_FOOT
1557541440742,0.01,WALKING
1557541440742,0.01,STILL
1557541455889,0.87,IN_VEHICLE
1557541455889,0.04,STILL
1557541455889,0.03,ON_BICYCLE
1557541455889,0.02,ON_FOOT
1557541455889,0.02,WALKING
1557541455889,0.02,UNKNOWN
1557541471092,0.4,UNKNOWN
1557541471092,0.1,IN_VEHICLE
1557541471092,0.1,ON_BICYCLE
1557541471092,0.1,ON_FOOT
