timestamp,type
1556669112564,SCREEN_ON
1556669113862,UNLOCK
1556669129747,SCREEN_OFF
1556669308170,SCREEN_ON
1556669319381,SCREEN_OFF
1556669322249,SCREEN_ON
1556669333543,SCREEN_OFF
1556669340175,SCREEN_ON
1556669351394,SCREEN_OFF
1556669393048,SCREEN_ON
1556669404309,SCREEN_OFF
1556669435312,SCREEN_ON
1556669446502,SCREEN_OFF
1556670002589,SCREEN_ON
1556670034063,POWER_DISCONNECTED
1556670034310,POWER_CONNECTED
1556670048214,UNLOCK
1556670079415,SCREEN_OFF
1556670726354,SCREEN_ON
1556670737567,SCREEN_OFF
1556670852548,SCREEN_ON
1556670863831,SCREEN_OFF
1556670896861,SCREEN_ON
1556670908038,SCREEN_OFF
1556673390637,SCREEN_ON
1556673401859,SCREEN_OFF
1556673477995,SCREEN_ON
1556673489271,SCREEN_OFF
1556673615894,SCREEN_ON
1556673624816,SCREEN_OFF
1556673634283,SCREEN_ON
1556673644960,SCREEN_OFF
1556674431000,SCREEN_ON
1556674440156,SCREEN_OFF
1556674447123,SCREEN_ON
1556674457566,POWER_DISCONNECTED
1556674458897,HEADSET_MIC_UNPLUGGED
1556674477970,SCREEN_OFF
1556674478138,SCREEN_ON
1556674480618,UNLOCK
1556674677366,SCREEN_OFF
1556674992520,UNLOCK
1556674992685,SCREEN_ON
1556675184566,SCREEN_OFF
1556675201310,SCREEN_ON
1556675223803,SCREEN_OFF
1556675228693,SCREEN_ON
1556675313820,UNLOCK
1556675316036,UNLOCK
1556675316178,SCREEN_OFF
1556675316547,SCREEN_ON
1556675347697,SCREEN_OFF
1556675496102,SCREEN_ON
1556675514497,SCREEN_OFF
1556675515761,SCREEN_ON
1556675528138,SCREEN_OFF
1556675547713,SCREEN_ON
1556675564005,SCREEN_OFF
1556675616906,SCREEN_ON
1556675632516,SCREEN_OFF
1556675916943,UNLOCK
1556675917039,SCREEN_ON
1556678900680,SCREEN_OFF
1556678925297,SCREEN_ON
1556678937983,SCREEN_OFF
1556678938800,SCREEN_ON
1556678953759,SCREEN_OFF
1556678954997,UNLOCK
1556678955103,SCREEN_ON
1556679092568,SCREEN_OFF
1556679121369,SCREEN_ON
1556679121731,UNLOCK
1556679164937,SCREEN_OFF
1556679216160,SCREEN_ON
1556679217972,UNLOCK
1556679243096,SCREEN_OFF
1556679243278,SCREEN_ON
1556679254908,SCREEN_OFF
1556679257929,UNLOCK
1556679258017,SCREEN_ON
1556679404410,SCREEN_OFF
1556679501127,UNLOCK
1556679501215,SCREEN_ON
