timestamp,type
1557793170205,POWER_DISCONNECTED
1557793170701,UNLOCK
1557793171530,POWER_CONNECTED
1557793171567,POWER_DISCONNECTED
1557793174101,SCREEN_ON
1557793177241,SCREEN_OFF
1557793623678,UNLOCK
1557793624472,SCREEN_ON
1557793633033,SCREEN_OFF
1557797403524,UNLOCK
1557797405629,SCREEN_ON
1557797461494,SCREEN_OFF
1557797526841,UNLOCK
1557797527925,SCREEN_ON
1557797605464,SCREEN_OFF
1557797628262,UNLOCK
1557797628880,SCREEN_ON
1557798272755,UNLOCK
1557798273375,SCREEN_OFF
1557798276640,SCREEN_ON
1557798287959,SCREEN_OFF
1557798289883,UNLOCK
1557798291783,SCREEN_ON
1557798349341,SCREEN_OFF
1557798365393,UNLOCK
1557798366268,SCREEN_ON
1557798371964,SCREEN_OFF
1557798452789,UNLOCK
1557798453877,SCREEN_ON
1557798526167,SCREEN_OFF
1557798573134,UNLOCK
1557798576694,SCREEN_ON
1557798581277,SCREEN_OFF
1557798611468,UNLOCK
1557798612346,SCREEN_ON
1557798633792,SCREEN_OFF
1557798762544,UNLOCK
1557798763329,SCREEN_ON
1557799424796,SCREEN_OFF
1557799436982,UNLOCK
1557799439137,SCREEN_ON
1557799443737,UNLOCK
1557799446016,SCREEN_OFF
1557799453855,SCREEN_ON
1557799517951,UNLOCK
1557799519874,SCREEN_OFF
1557799525745,SCREEN_ON
1557799540180,SCREEN_OFF
1557799563403,UNLOCK
1557799566773,SCREEN_ON
1557799748614,POWER_CONNECTED
1557799758607,SCREEN_OFF
1557799800126,UNLOCK
1557799804429,SCREEN_ON
1557799975760,SCREEN_OFF
1557799982482,UNLOCK
1557799985829,SCREEN_ON
1557799996741,SCREEN_OFF
1557800047918,UNLOCK
1557800051352,SCREEN_ON
1557800057815,SCREEN_OFF
1557800160530,UNLOCK
1557800162914,SCREEN_ON
1557800175269,SCREEN_OFF
1557800729554,UNLOCK
1557800732110,SCREEN_ON
1557801017263,SCREEN_OFF
1557801292436,UNLOCK
1557801294625,SCREEN_ON
1557801357581,SCREEN_OFF
1557801401985,UNLOCK
1557801409716,SCREEN_ON
1557801556527,SCREEN_OFF
1557801562599,UNLOCK
1557801563248,SCREEN_ON
1557801574081,SCREEN_OFF
1557801574732,UNLOCK
1557801575311,SCREEN_ON
1557801712878,SCREEN_OFF
1557801723484,UNLOCK
1557801724053,SCREEN_ON
1557801746740,SCREEN_OFF
1557801824505,UNLOCK
1557801825214,SCREEN_ON
1557801899732,SCREEN_OFF
1557801914051,UNLOCK
1557801914547,SCREEN_ON
1557801918335,SCREEN_OFF
1557801988386,UNLOCK
1557801989121,SCREEN_ON
1557802017537,SCREEN_OFF
1557802025597,UNLOCK
1557802026157,SCREEN_ON
1557802078625,UNLOCK
1557802079331,SCREEN_OFF
1557802080284,SCREEN_ON
1557802092981,SCREEN_OFF
1557802148227,POWER_DISCONNECTED
1557802148670,UNLOCK
1557802149920,SCREEN_ON
1557802470842,SCREEN_OFF
1557802475352,POWER_CONNECTED
1557802475804,UNLOCK
1557802477146,SCREEN_ON
1557802610629,SCREEN_OFF
1557803845795,UNLOCK
1557803846758,SCREEN_ON
1557803934840,SCREEN_OFF
1557804036011,UNLOCK
1557804036717,SCREEN_ON
1557804061329,SCREEN_OFF
1557804066414,UNLOCK
1557804066984,SCREEN_ON
1557804088708,SCREEN_OFF
1557804198769,UNLOCK
1557804199316,SCREEN_ON
1557804235430,SCREEN_OFF
1557804860548,UNLOCK
1557804861511,SCREEN_ON
1557804862950,RINGER_MODE_NORMAL
1557804866773,SCREEN_OFF
1557805506490,UNLOCK
1557805507613,SCREEN_ON
1557805508741,RINGER_MODE_VIBRATE
1557805547116,SCREEN_OFF
1557806895369,UNLOCK
1557806896549,SCREEN_ON
1557806956991,SCREEN_OFF
1557807479488,UNLOCK
1557807480466,SCREEN_ON
1557807484742,SCREEN_OFF
1557810299245,UNLOCK
1557810300703,SCREEN_ON
1557810341219,SCREEN_OFF
1557811815287,POWER_DISCONNECTED
1557811815830,UNLOCK
1557811816890,SCREEN_ON
1557811923609,SCREEN_OFF
1557812112216,UNLOCK
1557812113356,SCREEN_ON
1557812171150,UNLOCK
1557812172186,SCREEN_OFF
1557812176173,SCREEN_ON
1557812198652,SCREEN_OFF
1557816070514,UNLOCK
1557816071953,SCREEN_ON
1557816112175,SCREEN_OFF
1557816193092,UNLOCK
1557816194148,SCREEN_ON
1557816202335,SCREEN_OFF
1557816210233,UNLOCK
1557816211229,SCREEN_ON
1557816213478,SCREEN_OFF
1557816792241,UNLOCK
1557816793349,SCREEN_ON
1557816811882,SCREEN_OFF
1557816813410,UNLOCK
1557816814799,SCREEN_ON
1557816822595,SCREEN_OFF
1557816838995,UNLOCK
1557816839748,SCREEN_ON
1557816878986,SCREEN_OFF
1557817041770,UNLOCK
1557817042405,SCREEN_ON
1557817052097,SCREEN_OFF
1557817516069,UNLOCK
1557817516819,SCREEN_ON
1557817517659,UNLOCK
1557817518198,SCREEN_OFF
1557817520025,SCREEN_ON
1557818405613,SCREEN_OFF
1557818780359,UNLOCK
1557818781062,SCREEN_ON
1557819075006,UNLOCK
1557819075897,SCREEN_OFF
1557819078736,SCREEN_ON
1557819090911,SCREEN_OFF
1557819214704,UNLOCK
1557819215901,SCREEN_ON
1557819245348,SCREEN_OFF
1557819316119,UNLOCK
1557819317062,SCREEN_ON
1557819329387,SCREEN_OFF
1557819342598,UNLOCK
1557819343173,SCREEN_ON
1557819356710,SCREEN_OFF
1557819554312,UNLOCK
1557819555334,SCREEN_ON
1557819614163,SCREEN_OFF
1557819650195,UNLOCK
1557819651343,SCREEN_ON
1557819783777,SCREEN_OFF
1557819814393,UNLOCK
1557819816551,SCREEN_ON
1557819820857,SCREEN_OFF
1557819885516,UNLOCK
1557819886909,SCREEN_ON
1557819984765,RINGER_MODE_VIBRATE
1557819992709,POWER_DISCONNECTED
1557819994731,POWER_CONNECTED
1557820070827,UNLOCK
1557820090960,UNLOCK
1557820094415,SCREEN_ON
1557820096688,SCREEN_OFF
1557820099274,SCREEN_ON
1557820162489,TURN_ON_DEVICE
1557820224776,SCREEN_OFF
1557820232081,UNLOCK
1557820233483,SCREEN_ON
1557820311462,SCREEN_OFF
1557820323489,UNLOCK
1557820325024,SCREEN_ON
1557820445674,POWER_DISCONNECTED
1557820464587,POWER_CONNECTED
1557820468072,SCREEN_OFF
1557820598650,UNLOCK
1557820599703,SCREEN_ON
1557820682549,SCREEN_OFF
1557820724679,UNLOCK
1557820725425,SCREEN_ON
1557820859724,SCREEN_OFF
1557820880957,UNLOCK
1557820882703,SCREEN_ON
1557820940509,SCREEN_OFF
1557821212076,UNLOCK
1557821213143,SCREEN_ON
1557821245593,SCREEN_OFF
1557821296247,UNLOCK
1557821297599,SCREEN_ON
1557821303257,SCREEN_OFF
1557821325123,UNLOCK
1557821325737,SCREEN_ON
1557822627962,POWER_DISCONNECTED
1557823924265,SCREEN_OFF
1557824229722,UNLOCK
1557824231759,SCREEN_ON
1557824453101,UNLOCK
1557824453807,SCREEN_OFF
1557824456246,SCREEN_ON
1557824500325,SCREEN_OFF
1557824538665,UNLOCK
1557824540208,SCREEN_ON
1557824595569,SCREEN_OFF
1557825785648,UNLOCK
1557825787142,SCREEN_ON
1557825886824,SCREEN_OFF
1557827984433,BATTERY_LOW
1557827985094,ACTIVATE_POWER_SAVE_MODE
1557827989587,TURN_OFF_DEVICE
1557830164166,RINGER_MODE_VIBRATE
1557830219525,UNLOCK
1557830268372,TURN_ON_DEVICE
1557831871752,POWER_DISCONNECTED
1557831908135,SCREEN_ON
1557831912710,SCREEN_OFF
1557832670442,UNLOCK
1557832674996,SCREEN_ON
1557832702195,SCREEN_OFF
1557832773148,UNLOCK
1557832774540,SCREEN_ON
1557832813375,SCREEN_OFF
1557832891694,UNLOCK
1557832892363,SCREEN_ON
1557832918812,SCREEN_OFF
1557832956904,POWER_CONNECTED
1557832956976,UNLOCK
1557832957860,SCREEN_ON
1557832959366,SCREEN_OFF
1557834140158,POWER_DISCONNECTED
1557834140510,UNLOCK
1557834144134,SCREEN_ON
1557834163031,SCREEN_OFF
1557834268261,UNLOCK
1557834269662,SCREEN_ON
1557834294796,SCREEN_OFF
1557834305327,POWER_CONNECTED
1557834305562,UNLOCK
1557834306517,SCREEN_ON
1557835492250,SCREEN_OFF
1557838340958,POWER_DISCONNECTED
1557838341414,UNLOCK
1557838343986,SCREEN_ON
1557838353197,SCREEN_OFF
1557838362464,UNLOCK
1557838365595,SCREEN_ON
1557838517447,SCREEN_OFF
1557838628020,UNLOCK
1557838629101,SCREEN_ON
1557838630468,UNLOCK
1557838630881,SCREEN_OFF
1557838632059,SCREEN_ON
1557838697410,UNLOCK
1557838698271,SCREEN_OFF
1557838699577,SCREEN_ON
1557838774989,SCREEN_OFF
1557838780668,UNLOCK
1557838781522,SCREEN_ON
1557838794257,SCREEN_OFF
1557838915146,UNLOCK
1557838916043,SCREEN_ON
1557839006873,SCREEN_OFF
1557839071400,UNLOCK
1557839072381,SCREEN_ON
1557839073607,UNLOCK
1557839075350,SCREEN_OFF
1557839076586,SCREEN_ON
1557839080508,SCREEN_OFF
1557839176764,UNLOCK
1557839177484,SCREEN_ON
1557839188396,SCREEN_OFF
1557839218893,UNLOCK
1557839219889,SCREEN_ON
1557839266096,SCREEN_OFF
