timestamp,type
1556582853129,UNLOCK
1556583124114,POWER_DISCONNECTED
1556583326482,SCREEN_OFF
1556583390426,SCREEN_ON
1556583392153,UNLOCK
1556583396698,SCREEN_OFF
1556583506434,SCREEN_ON
1556583507298,UNLOCK
1556583635721,SCREEN_OFF
1556583656165,SCREEN_ON
1556583657045,UNLOCK
1556583675083,SCREEN_OFF
1556583691516,SCREEN_ON
1556583698294,SCREEN_OFF
1556583734281,SCREEN_ON
1556583745305,UNLOCK
1556583889920,SCREEN_OFF
1556583911697,SCREEN_ON
1556583913187,SCREEN_OFF
1556583927339,SCREEN_ON
1556583929578,SCREEN_OFF
1556584013403,SCREEN_ON
1556584021482,SCREEN_OFF
1556584022246,SCREEN_ON
1556584024233,SCREEN_OFF
1556584025206,SCREEN_ON
1556584038637,UNLOCK
1556584095439,SCREEN_OFF
1556584108498,SCREEN_ON
1556584109878,UNLOCK
1556584117684,SCREEN_OFF
1556584126548,SCREEN_ON
1556584128181,SCREEN_OFF
1556584175376,SCREEN_ON
1556584176661,UNLOCK
1556584320160,RINGER_MODE_VIBRATE
1556584320722,RINGER_MODE_SILENT
1556585644239,SCREEN_OFF
1556586112001,SCREEN_ON
1556586117779,SCREEN_OFF
1556586368461,SCREEN_ON
1556586369700,UNLOCK
1556586401150,SCREEN_OFF
1556586468410,SCREEN_ON
1556586472210,SCREEN_OFF
1556586515344,SCREEN_ON
1556586516367,UNLOCK
1556586559349,SCREEN_OFF
1556586698607,SCREEN_ON
1556586707113,UNLOCK
1556586762045,SCREEN_OFF
1556586764846,SCREEN_ON
1556586768980,SCREEN_OFF
1556586808521,SCREEN_ON
1556586823825,SCREEN_OFF
1556586853008,SCREEN_ON
1556586855238,UNLOCK
1556587454075,SCREEN_OFF
1556587534300,SCREEN_ON
1556587535820,UNLOCK
1556588360091,SCREEN_OFF
1556588372101,POWER_CONNECTED
1556588372615,SCREEN_ON
1556588374406,UNLOCK
1556588379448,SCREEN_OFF
1556588388422,SCREEN_ON
1556588389070,UNLOCK
1556589287914,SCREEN_OFF
1556589372537,SCREEN_ON
1556589379351,UNLOCK
1556589382068,SCREEN_OFF
1556589628346,SCREEN_ON
1556589630417,UNLOCK
1556589916882,SCREEN_OFF
1556589995260,SCREEN_ON
1556590001688,UNLOCK
1556591825906,SCREEN_OFF
1556592005828,SCREEN_ON
1556592009490,UNLOCK
1556592020970,SCREEN_OFF
1556592159964,SCREEN_ON
1556592163000,UNLOCK
1556592853257,POWER_DISCONNECTED
1556592856314,SCREEN_OFF
1556592903501,SCREEN_ON
1556592910474,SCREEN_OFF
1556593068461,SCREEN_ON
1556593075191,SCREEN_OFF
1556593077011,SCREEN_ON
1556593083572,UNLOCK
1556593262516,SCREEN_OFF
1556593262746,SCREEN_ON
1556593263908,UNLOCK
1556593265727,SCREEN_OFF
1556593380836,SCREEN_ON
1556593384584,UNLOCK
1556593521292,SCREEN_OFF
1556593532972,SCREEN_ON
1556593534271,UNLOCK
1556593561699,SCREEN_OFF
1556593615189,SCREEN_ON
1556593623835,SCREEN_OFF
1556593666845,SCREEN_ON
1556593667932,UNLOCK
1556593781352,SCREEN_OFF
1556594038818,SCREEN_ON
1556594040637,UNLOCK
1556594299578,SCREEN_OFF
1556594311343,SCREEN_ON
1556594312693,UNLOCK
1556594338491,SCREEN_OFF
1556594353848,SCREEN_ON
1556594357683,UNLOCK
1556595295177,SCREEN_OFF
1556595466774,SCREEN_ON
1556595469055,UNLOCK
1556595557416,SCREEN_OFF
1556595557968,SCREEN_ON
1556595558042,UNLOCK
1556595862277,SCREEN_OFF
1556597269703,SCREEN_ON
1556597285408,SCREEN_OFF
1556597424214,SCREEN_ON
1556597426628,UNLOCK
1556597531854,SCREEN_OFF
1556598360235,SCREEN_ON
1556598361049,UNLOCK
1556598385608,SCREEN_OFF
1556599581145,SCREEN_ON
1556599596697,SCREEN_OFF
1556599601171,SCREEN_ON
1556599604522,UNLOCK
1556599659071,SCREEN_OFF
1556600564225,SCREEN_ON
1556600571972,UNLOCK
1556600625533,SCREEN_OFF
1556601052552,SCREEN_ON
1556601058124,UNLOCK
1556601382924,SCREEN_OFF
1556601414452,SCREEN_ON
1556601433524,SCREEN_OFF
1556601464018,SCREEN_ON
1556601465612,SCREEN_OFF
1556601470645,SCREEN_ON
1556601479846,SCREEN_OFF
1556601973932,SCREEN_ON
1556601975106,UNLOCK
1556602004837,SCREEN_OFF
1556602015053,SCREEN_ON
1556602016260,UNLOCK
1556602059723,SCREEN_OFF
1556602120548,SCREEN_ON
1556602121957,UNLOCK
1556602673643,SCREEN_OFF
1556602681321,SCREEN_ON
1556602683228,UNLOCK
1556603305549,SCREEN_OFF
1556603306215,SCREEN_ON
1556603306814,UNLOCK
1556603420214,SCREEN_OFF
1556603420393,SCREEN_ON
1556603421495,UNLOCK
1556603646921,SCREEN_OFF
1556603656812,SCREEN_ON
1556603657591,UNLOCK
1556603675969,SCREEN_OFF
1556603676126,SCREEN_ON
1556603677448,UNLOCK
1556604542270,SCREEN_OFF
1556606244289,SCREEN_ON
1556606258175,SCREEN_OFF
1556606268157,SCREEN_ON
1556606270822,UNLOCK
1556606283522,SCREEN_OFF
1556606297705,SCREEN_ON
1556606310687,SCREEN_OFF
1556606335457,SCREEN_ON
1556606337337,UNLOCK
1556606573474,SCREEN_OFF
1556606595958,SCREEN_ON
1556606603166,SCREEN_OFF
1556606627852,SCREEN_ON
1556606641979,UNLOCK
1556606658793,SCREEN_OFF
1556606780498,SCREEN_ON
1556606789511,SCREEN_OFF
1556606789724,SCREEN_ON
1556606790995,UNLOCK
1556606945057,SCREEN_OFF
1556606945793,SCREEN_ON
1556606945817,UNLOCK
1556606956151,SCREEN_OFF
1556606963575,SCREEN_ON
1556606964504,UNLOCK
1556606981738,SCREEN_OFF
1556607385776,SCREEN_ON
1556607392311,UNLOCK
1556607514056,SCREEN_OFF
1556607624907,SCREEN_ON
1556607626161,UNLOCK
1556608012025,SCREEN_OFF
1556608022442,SCREEN_ON
1556608024876,SCREEN_OFF
1556608039600,SCREEN_ON
1556608044765,SCREEN_OFF
1556608062640,SCREEN_ON
1556608086099,UNLOCK
1556609149572,SCREEN_OFF
1556609150993,SCREEN_ON
1556609154389,SCREEN_OFF
1556609155298,SCREEN_ON
1556609156901,SCREEN_OFF
1556610308612,SCREEN_ON
1556610317795,SCREEN_OFF
1556611369774,SCREEN_ON
1556611373412,UNLOCK
1556611457535,SCREEN_OFF
1556611730359,SCREEN_ON
1556611733241,UNLOCK
