timestamp,altitude,longitude,latitude,speed,accuracy
1557705646000,74.0,127.3568319,36.363657,0.0,9.323
1557705683463,71.0,127.3568004,36.3636692,0.0,7.467
1557705688000,72.0,127.3568414,36.3636107,0.0,24.656
1557705689000,60.0,127.3568525,36.3634877,6.65,18.224
1557705690000,61.0,127.3568732,36.3633921,7.14,16.079
1557705691000,74.0,127.3570929,36.3633214,5.87,9.648
1557705693000,79.0,127.3572308,36.3633117,2.46,6.42
1557705695000,82.0,127.3573113,36.3633135,3.07,6.066
1557705696000,83.0,127.3575183,36.3633301,5.18,9.648
1557705697000,80.0,127.3576005,36.3633813,6.69,7.504
1557705698000,78.0,127.3576871,36.3634251,6.54,7.504
1557705699000,73.0,127.3577576,36.3635153,7.92,6.432
1557705700000,72.0,127.3578348,36.3635407,8.09,6.432
1557705701000,70.0,127.3579125,36.3636105,8.24,5.36
1557705702000,69.0,127.3579942,36.3636884,9.46,5.36
1557705703000,70.0,127.3580803,36.3637218,9.38,5.36
1557705704000,69.0,127.3581735,36.3637955,10.61,5.36
1557705705000,70.0,127.3582779,36.3638594,10.72,5.36
1557705706000,69.0,127.3583807,36.3639061,10.77,4.288
1557705707000,68.0,127.3584863,36.3639666,11.43,4.288
1557705708000,66.0,127.3585839,36.3640187,10.93,4.288
1557705709000,67.0,127.358663,36.3640786,9.29,4.288
1557705710000,66.0,127.358725,36.3641462,8.75,5.36
1557705711000,66.0,127.3587619,36.3641906,7.12,5.36
1557705717000,65.0,127.3588219,36.3641849,1.87,3.407
1557705720000,65.0,127.3588766,36.3641434,2.3,3.317
1557705723000,64.0,127.3589458,36.364091,3.8,3.888
1557705724000,64.0,127.3589854,36.3640284,4.65,4.288
1557705725000,64.0,127.359042,36.3638852,8.06,5.36
1557705726000,63.0,127.3590972,36.3637982,8.69,5.36
1557705727000,63.0,127.3591891,36.3637108,9.34,4.288
1557705728000,63.0,127.3592509,36.363652,7.49,4.288
1557705729000,65.0,127.3593506,36.3636,6.53,3.9
1557705730000,65.0,127.3594389,36.3635845,6.1,3.9
1557705731000,63.0,127.3595089,36.3635887,6.74,3.9
1557705732000,63.0,127.3596207,36.3636311,9.29,3.9
1557705733000,64.0,127.3597233,36.3636861,10.39,3.9
1557705734000,65.0,127.3598402,36.3637578,11.95,3.9
1557705735000,64.0,127.3599765,36.363837,13.41,4.288
1557705736000,63.0,127.3601017,36.3639046,14.59,4.288
1557705737000,63.0,127.3602369,36.3639701,14.57,4.288
1557705738000,64.0,127.3603657,36.3640535,14.48,4.288
1557705739000,67.0,127.3605212,36.3641247,14.47,4.288
1557705740000,69.0,127.3606161,36.3642211,13.32,5.36
1557705741000,68.0,127.3606769,36.3643536,13.75,4.288
1557705742000,69.0,127.3607811,36.3644524,14.44,5.36
1557705743000,68.0,127.3609072,36.3645264,14.19,4.288
1557705744000,68.0,127.3610285,36.3646023,13.91,5.36
1557705745000,67.0,127.3611595,36.3646306,12.74,4.288
1557705746000,67.0,127.3612723,36.3646688,11.91,4.288
1557705747000,67.0,127.3613813,36.3647164,11.19,4.288
1557705748000,68.0,127.3614929,36.364784,12.34,3.9
1557705749000,68.0,127.3616258,36.3648424,13.5,3.9
1557705750000,68.0,127.3617639,36.3649183,14.72,4.288
1557705751000,69.0,127.3619207,36.3650023,15.89,3.9
1557705752000,68.0,127.3620821,36.3650847,16.69,3.9
1557705753000,68.0,127.3622292,36.36517,15.82,3.9
1557705754000,68.0,127.362352,36.3652523,14.47,3.9
1557705755000,68.0,127.3624908,36.3653253,14.69,3.9
1557705756000,68.0,127.3626277,36.3653877,14.59,3.9
1557705757000,68.0,127.3627372,36.3654676,13.39,3.9
1557705758000,68.0,127.3628327,36.3655408,12.36,3.9
1557705759000,69.0,127.3629036,36.3656403,12.01,3.9
1557705760000,69.0,127.3629773,36.3657607,13.45,3.9
1557705761000,69.0,127.3630465,36.3658538,12.77,3.9
1557705762000,69.0,127.3631173,36.3659582,12.32,3.9
1557705763000,69.0,127.3631863,36.3660033,9.02,3.9
1557705764000,69.0,127.3632381,36.3660479,7.11,3.9
1557705766000,69.0,127.3633211,36.3661088,5.43,3.9
1557705767000,70.0,127.3633553,36.3661592,6.16,3.9
1557705768000,71.0,127.3634088,36.3662055,7.68,3.9
1557705769000,71.0,127.3634209,36.3662879,8.76,3.9
1557705770000,72.0,127.3634276,36.3663659,8.42,3.9
1557705771000,71.0,127.3633782,36.366477,10.89,3.9
1557705772000,70.0,127.3632341,36.3665731,13.01,3.9
1557705773000,70.0,127.3631412,36.3666874,14.04,3.9
1557705774000,71.0,127.3630605,36.366788,13.6,3.9
1557705775000,71.0,127.3629697,36.366881,13.17,3.9
1557705776000,71.0,127.3629026,36.3669796,13.07,3.9
1557705777000,70.0,127.3628216,36.3670873,13.47,3.9
1557705778000,70.0,127.3627369,36.3671828,13.07,3.9
1557705779000,70.0,127.3626718,36.3672764,12.85,3.9
1557705780000,70.0,127.3625876,36.3673791,13.41,4.288
1557705781000,70.0,127.3625308,36.3675269,14.63,4.288
1557705782000,71.0,127.3624553,36.3676648,15.56,4.288
1557705783000,70.0,127.362375,36.3677877,15.63,4.288
1557705784000,69.0,127.3623279,36.3678587,12.27,3.9
