timestamp,altitude,longitude,latitude,speed,accuracy
1556944008191,88.5,127.3608268,36.3730742,0.0,17.902
1556944753000,93.6431884766,127.3608208,36.3730069,0.0,9.665
1556944803145,88.5999984741,127.3607965,36.3730505,0.0,14.317
1556946659346,88.5,127.3606837,36.3731098,0.0,14.728
1556946675641,88.5,127.3606837,36.3731098,0.0,39.172
1556946685799,80.6999969482,127.3606481,36.3730342,0.0,16.716
1556946695727,84.6999969482,127.3607038,36.3730044,0.0,13.587
1556946703000,84.6999969482,127.3606669,36.3730427,0.0,14.46
1556946707000,84.8000030518,127.3607676,36.3729862,1.32,9.617
1556946710000,84.8000030518,127.3608236,36.3729536,1.35,9.461
1556946712000,89.81640625,127.3608414,36.3728967,0.67,7.91
1556946715000,90.533203125,127.3608647,36.3728519,1.02,6.836
1556946717000,90.6383666992,127.3608928,36.3728021,1.46,6.504
1556946720000,90.3160400391,127.3609265,36.3727469,1.27,6.444
1556946723000,89.4336547852,127.3609483,36.3727042,1.94,6.566
1556946727000,86.7986450195,127.3609684,36.3726351,1.75,9.756
1556946731000,85.4384765625,127.3609874,36.3725896,1.57,5.134
1556946735000,87.5316772461,127.3610063,36.3725407,1.08,6.693
1556946738000,88.0963745117,127.3610416,36.3724881,1.7,5.229
1556946741000,87.7634887695,127.3610704,36.3724439,1.59,5.04
1556946744000,86.8464355469,127.361104,36.3723947,1.51,5.028
1556946748000,89.7530517578,127.3611165,36.3723494,1.66,4.245
1556946751000,89.4554443359,127.3611353,36.3723049,1.49,4.67
1556946754000,91.3869018555,127.3611503,36.3722605,1.26,4.566
1556946756000,91.0003662109,127.361153,36.3722129,3.2,4.542
1556946760000,90.1250610352,127.3611486,36.3721641,2.11,4.325
1556946764000,88.7998046875,127.3611337,36.3721137,1.04,4.14
1556946768000,87.702331543,127.3611415,36.3720569,1.28,3.464
1556946772000,88.03515625,127.3611664,36.3719977,1.54,3.035
1556946774000,88.5704345703,127.3611558,36.3719525,1.54,3.069
1556946777000,87.1053466797,127.3611452,36.3719033,0.99,3.0
1556946780000,86.1821899414,127.3611197,36.3718579,1.52,3.0
1556946784000,85.7443847656,127.3611209,36.3718023,2.52,3.102
1556946788000,83.1283569336,127.3611456,36.3717534,1.9,3.0
1556946791000,82.2655639648,127.3611246,36.3717058,1.62,3.013
1556946794000,81.8936157227,127.3611001,36.3716638,0.92,3.049
1556946800000,76.9279785156,127.3611118,36.3716138,2.0,3.0
1556946803000,76.178894043,127.3611464,36.3715738,1.5,3.149
1556946806000,76.1739501953,127.3611792,36.3715364,1.78,3.486
1556946809000,74.9271240234,127.3612019,36.371495,1.77,4.357
1556946813000,74.0380249023,127.3612503,36.3714563,1.61,5.551
1556946816000,72.4595336914,127.3612965,36.371408,1.48,5.11
1556946819000,73.4694824219,127.3613332,36.3713712,1.69,5.03
1556946822000,74.6910400391,127.3613696,36.3713266,1.85,4.311
1556946825000,75.0878295898,127.3614015,36.3712821,1.9,4.37
1556946829000,74.4487915039,127.3614453,36.3712312,1.52,4.271
1556946832000,74.3240356445,127.3614798,36.3711808,1.72,3.987
1556946835000,73.6157226562,127.3615172,36.3711296,1.51,3.719
1556946839000,74.2731933594,127.3615574,36.3710919,1.83,3.385
1556946843000,75.1842651367,127.3615747,36.3710382,0.95,3.595
1556946847000,72.1553344727,127.3616131,36.3709669,5.3,4.288
1556946852000,71.8674926758,127.3616672,36.3709338,2.35,3.283
1556946855000,74.2744140625,127.3617045,36.3708993,2.11,3.356
1556946859000,74.9543457031,127.361746,36.3708508,1.64,3.494
1556946862000,74.6484375,127.361779,36.3708126,2.27,3.454
1556946865000,74.2634887695,127.361808,36.3707671,1.32,3.418
1556946868000,72.8720703125,127.3618286,36.370713,1.17,3.464
1556946871000,72.1763916016,127.3618568,36.3706685,1.75,3.531
1556946874000,74.8284912109,127.361878,36.3706244,1.73,3.551
1556946878000,72.8319091797,127.3619048,36.3705723,1.04,3.238
1556946881000,72.7257080078,127.3619253,36.3705218,1.59,3.806
1556946884000,70.8090820312,127.3619251,36.3704639,1.59,3.324
1556946888000,72.3171386719,127.3619101,36.370411,1.63,3.055
1556946892000,72.0471191406,127.3619212,36.3703535,2.42,3.075
