timestamp,confidence,type
1557279366514,0.4,UNKNOWN
1557279366514,0.1,IN_VEHICLE
1557279366514,0.1,ON_BICYCLE
1557279366514,0.1,ON_FOOT
1557279366514,0.1,WALKING
1557279366514,0.1,RUNNING
1557279366514,0.1,STILL
1557279392339,0.32,STILL
1557279392339,0.3,ON_FOOT
1557279392339,0.3,WALKING
1557279392339,0.29,ON_BICYCLE
1557279392339,0.04,IN_VEHICLE
1557279392339,0.02,UNKNOWN
1557279392339,0.01,RUNNING
1557279416854,0.48,STILL
1557279416854,0.31,ON_FOOT
1557279416854,0.31,WALKING
1557279416854,0.09,ON_BICYCLE
1557279416854,0.04,IN_VEHICLE
1557279416854,0.02,RUNNING
1557279416854,0.02,UNKNOWN
1557279432632,0.47,STILL
1557279432632,0.35,ON_FOOT
1557279432632,0.35,WALKING
1557279432632,0.1,ON_BICYCLE
1557279432632,0.02,IN_VEHICLE
1557279432632,0.02,RUNNING
1557279432632,0.02,UNKNOWN
1557279448333,1.0,STILL
1557279464224,0.98,STILL
1557279464224,0.01,ON_FOOT
1557279464224,0.01,WALKING
1557279464224,0.01,UNKNOWN
1557279479885,0.71,STILL
1557279479885,0.22,ON_FOOT
1557279479885,0.22,WALKING
1557279479885,0.04,ON_BICYCLE
1557279479885,0.02,UNKNOWN
1557279479885,0.01,RUNNING
1557279487422,1.0,TILTING
1557279494959,0.4,UNKNOWN
1557279494959,0.1,IN_VEHICLE
1557279494959,0.1,ON_BICYCLE
1557279494959,0.1,ON_FOOT
1557279494959,0.1,WALKING
1557279494959,0.1,RUNNING
1557279494959,0.1,STILL
1557279498976,0.4,UNKNOWN
1557279498976,0.1,IN_VEHICLE
1557279498976,0.1,ON_BICYCLE
1557279498976,0.1,ON_FOOT
1557279498976,0.1,WALKING
1557279498976,0.1,RUNNING
1557279498976,0.1,STILL
1557279504013,0.4,UNKNOWN
1557279504013,0.1,IN_VEHICLE
1557279504013,0.1,ON_BICYCLE
1557279504013,0.1,ON_FOOT
1557279504013,0.1,WALKING
1557279504013,0.1,RUNNING
1557279504013,0.1,STILL
1557279509031,0.4,UNKNOWN
1557279509031,0.1,IN_VEHICLE
1557279509031,0.1,ON_BICYCLE
1557279509031,0.1,ON_FOOT
1557279509031,0.1,WALKING
1557279509031,0.1,RUNNING
1557279509031,0.1,STILL
1557279524363,0.75,STILL
1557279524363,0.11,ON_FOOT
1557279524363,0.11,WALKING
1557279524363,0.05,IN_VEHICLE
1557279524363,0.04,ON_BICYCLE
1557279524363,0.02,UNKNOWN
1557279556381,0.99,STILL
1557279556381,0.01,UNKNOWN
1557279571627,0.5,STILL
1557279571627,0.26,ON_BICYCLE
1557279571627,0.14,IN_VEHICLE
1557279571627,0.06,ON_FOOT
1557279571627,0.06,WALKING
1557279571627,0.02,UNKNOWN
1557279587045,0.4,UNKNOWN
1557279587045,0.1,IN_VEHICLE
1557279587045,0.1,ON_BICYCLE
1557279587045,0.1,ON_FOOT
1557279587045,0.1,WALKING
1557279587045,0.1,RUNNING
1557279587045,0.1,STILL
1557279592350,0.4,UNKNOWN
1557279592350,0.1,IN_VEHICLE
1557279592350,0.1,ON_BICYCLE
1557279592350,0.1,ON_FOOT
1557279592350,0.1,WALKING
1557279592350,0.1,RUNNING
1557279592350,0.1,STILL
1557279598249,0.42,STILL
1557279598249,0.26,ON_FOOT
1557279598249,0.26,WALKING
1557279598249,0.15,IN_VEHICLE
1557279598249,0.05,ON_BICYCLE
1557279598249,0.03,UNKNOWN
1557279611818,1.0,STILL
1557279634861,0.4,UNKNOWN
1557279634861,0.1,IN_VEHICLE
1557279634861,0.1,ON_BICYCLE
1557279634861,0.1,ON_FOOT
1557279634861,0.1,WALKING
1557279634861,0.1,RUNNING
1557279634861,0.1,STILL
1557279638835,0.44,STILL
1557279638835,0.23,IN_VEHICLE
1557279638835,0.11,ON_FOOT
1557279638835,0.11,WALKING
1557279638835,0.02,ON_BICYCLE
1557279638835,0.01,UNKNOWN
1557279666686,1.0,STILL
1557279686535,0.99,STILL
1557279686535,0.01,UNKNOWN
1557279692811,0.98,STILL
1557279692811,0.01,IN_VEHICLE
1557279692811,0.01,UNKNOWN
1557279705541,0.89,STILL
1557279705541,0.04,IN_VEHICLE
1557279705541,0.03,ON_FOOT
1557279705541,0.03,WALKING
1557279705541,0.02,UNKNOWN
1557279719574,1.0,STILL
1557279742677,1.0,STILL
1557279762380,0.99,STILL
1557279762380,0.01,UNKNOWN
1557279777843,0.99,STILL
1557279777843,0.01,UNKNOWN
1557279793324,0.99,STILL
1557279793324,0.01,UNKNOWN
1557279808791,0.99,STILL
1557279808791,0.01,UNKNOWN
1557279824535,0.99,STILL
1557279824535,0.01,UNKNOWN
1557279840024,0.99,STILL
1557279840024,0.01,UNKNOWN
1557279855499,0.99,STILL
1557279855499,0.01,UNKNOWN
1557279870833,0.99,STILL
1557279870833,0.01,UNKNOWN
1557279886355,0.99,STILL
1557279886355,0.01,UNKNOWN
1557279901878,0.99,STILL
1557279901878,0.01,UNKNOWN
1557279917294,0.99,STILL
1557279917294,0.01,UNKNOWN
1557279932881,0.99,STILL
1557279932881,0.01,UNKNOWN
1557279948377,0.99,STILL
1557279948377,0.01,UNKNOWN
1557279963802,0.99,STILL
1557279963802,0.01,UNKNOWN
1557279980166,0.99,STILL
1557279980166,0.01,UNKNOWN
1557279995436,0.99,STILL
1557279995436,0.01,UNKNOWN
1557280006589,0.99,STILL
1557280006589,0.01,UNKNOWN
1557280022072,0.99,STILL
1557280022072,0.01,UNKNOWN
1557280037471,0.99,STILL
1557280037471,0.01,UNKNOWN
1557280052784,0.99,STILL
1557280052784,0.01,UNKNOWN
1557280068265,0.99,STILL
1557280068265,0.01,UNKNOWN
1557280083672,0.99,STILL
1557280083672,0.01,UNKNOWN
1557280099181,0.99,STILL
1557280099181,0.01,UNKNOWN
1557280114535,0.99,STILL
1557280114535,0.01,UNKNOWN
1557280129950,0.99,STILL
1557280129950,0.01,UNKNOWN
1557280145413,0.99,STILL
1557280145413,0.01,UNKNOWN
1557280160675,0.99,STILL
1557280160675,0.01,UNKNOWN
1557281823838,1.0,STILL
1557281830228,1.0,STILL
1557284048802,0.4,UNKNOWN
1557284048802,0.1,IN_VEHICLE
1557284048802,0.1,ON_BICYCLE
1557284048802,0.1,ON_FOOT
1557284048802,0.1,WALKING
1557284048802,0.1,RUNNING
1557284048802,0.1,STILL
1557284074676,0.44,STILL
1557284074676,0.23,IN_VEHICLE
1557284074676,0.11,ON_FOOT
1557284074676,0.11,WALKING
1557284074676,0.02,ON_BICYCLE
1557284074676,0.01,UNKNOWN
1557284099238,0.99,STILL
1557284099238,0.01,UNKNOWN
1557284114822,0.99,STILL
1557284114822,0.01,UNKNOWN
1557284130372,0.99,STILL
1557284130372,0.01,UNKNOWN
1557284145911,0.99,STILL
1557284145911,0.01,UNKNOWN
1557284161370,0.99,STILL
1557284161370,0.01,UNKNOWN
1557284176701,0.99,STILL
1557284176701,0.01,UNKNOWN
1557284192363,0.99,STILL
1557284192363,0.01,UNKNOWN
1557284207883,0.99,STILL
1557284207883,0.01,UNKNOWN
1557284223249,0.99,STILL
1557284223249,0.01,UNKNOWN
1557284238679,0.99,STILL
1557284238679,0.01,UNKNOWN
1557284254119,0.99,STILL
1557284254119,0.01,UNKNOWN
1557284269528,0.99,STILL
1557284269528,0.01,UNKNOWN
1557284284925,0.99,STILL
1557284284925,0.01,UNKNOWN
1557284300446,0.99,STILL
1557284300446,0.01,UNKNOWN
1557284316158,0.99,STILL
1557284316158,0.01,UNKNOWN
1557284331656,0.99,STILL
1557284331656,0.01,UNKNOWN
1557284347221,0.99,STILL
1557284347221,0.01,UNKNOWN
1557284362729,0.99,STILL
1557284362729,0.01,UNKNOWN
1557284377383,0.99,STILL
1557284377383,0.01,UNKNOWN
1557284392915,0.99,STILL
1557284392915,0.01,UNKNOWN
1557284410593,0.99,STILL
1557284410593,0.01,UNKNOWN
1557284425955,0.99,STILL
1557284425955,0.01,UNKNOWN
1557284441550,0.99,STILL
1557284441550,0.01,UNKNOWN
1557284456943,0.99,STILL
1557284456943,0.01,UNKNOWN
1557284472588,0.99,STILL
1557284472588,0.01,UNKNOWN
1557284488109,0.99,STILL
1557284488109,0.01,UNKNOWN
1557284503472,0.99,STILL
1557284503472,0.01,UNKNOWN
1557284519057,0.99,STILL
1557284519057,0.01,UNKNOWN
1557284534610,0.99,STILL
1557284534610,0.01,UNKNOWN
1557284550086,0.99,STILL
1557284550086,0.01,UNKNOWN
1557284565687,0.99,STILL
1557284565687,0.01,UNKNOWN
1557284581148,0.99,STILL
1557284581148,0.01,UNKNOWN
1557288211601,1.0,STILL
1557288218972,1.0,STILL
1557289926712,1.0,TILTING
1557291628343,0.4,UNKNOWN
1557291628343,0.1,IN_VEHICLE
1557291628343,0.1,ON_BICYCLE
1557291628343,0.1,ON_FOOT
1557291628343,0.1,WALKING
1557291628343,0.1,RUNNING
1557291628343,0.1,STILL
1557291645034,1.0,TILTING
1557291644386,1.0,STILL
1557291660399,1.0,TILTING
1557291667972,0.97,STILL
1557291667972,0.01,IN_VEHICLE
1557291667972,0.01,ON_FOOT
1557291667972,0.01,WALKING
1557291667972,0.01,UNKNOWN
1557291683161,0.97,STILL
1557291683161,0.02,UNKNOWN
1557291683161,0.01,IN_VEHICLE
1557291698474,0.52,STILL
1557291698474,0.16,IN_VEHICLE
1557291698474,0.12,ON_BICYCLE
1557291698474,0.1,ON_FOOT
1557291698474,0.1,WALKING
1557291698474,0.01,RUNNING
1557291698474,0.01,UNKNOWN
1557291713813,0.59,STILL
1557291713813,0.14,IN_VEHICLE
1557291713813,0.14,ON_BICYCLE
1557291713813,0.08,ON_FOOT
1557291713813,0.08,WALKING
1557291713813,0.01,UNKNOWN
1557291730221,0.31,STILL
1557291730221,0.23,ON_FOOT
1557291730221,0.23,WALKING
1557291730221,0.21,ON_BICYCLE
