timestamp,confidence,type
1557014820317,1.0,STILL
1557014922628,1.0,TILTING
1557015011484,1.0,STILL
1557015382747,1.0,STILL
1557016016530,0.99,STILL
1557016016530,0.01,UNKNOWN
1557017152483,0.4,UNKNOWN
1557017152483,0.1,IN_VEHICLE
1557017152483,0.1,ON_BICYCLE
1557017152483,0.1,ON_FOOT
1557017152483,0.1,WALKING
1557017152483,0.1,RUNNING
1557017152483,0.1,STILL
1557017168248,1.0,STILL
1557017177201,1.0,STILL
1557017186042,1.0,STILL
1557017204941,0.99,STILL
1557017204941,0.01,UNKNOWN
1557017220319,0.71,STILL
1557017220319,0.16,IN_VEHICLE
1557017220319,0.04,ON_FOOT
1557017220319,0.04,WALKING
1557017220319,0.02,UNKNOWN
1557017235730,0.89,STILL
1557017235730,0.04,ON_FOOT
1557017235730,0.04,WALKING
1557017235730,0.02,IN_VEHICLE
1557017235730,0.02,ON_BICYCLE
1557017235730,0.01,UNKNOWN
1557017251118,0.97,STILL
1557017251118,0.01,IN_VEHICLE
1557017251118,0.01,UNKNOWN
1557017266475,0.97,STILL
1557017266475,0.02,UNKNOWN
1557017266475,0.01,IN_VEHICLE
1557017281816,0.98,STILL
1557017281816,0.02,UNKNOWN
1557017297175,0.99,STILL
1557017297175,0.01,UNKNOWN
1557017312543,0.97,STILL
1557017312543,0.01,IN_VEHICLE
1557017312543,0.01,ON_FOOT
1557017312543,0.01,WALKING
1557017312543,0.01,UNKNOWN
1557017327933,0.7,STILL
1557017327933,0.09,IN_VEHICLE
1557017327933,0.09,ON_FOOT
1557017327933,0.09,WALKING
1557017327933,0.03,UNKNOWN
1557017327933,0.01,ON_BICYCLE
1557017343236,0.66,STILL
1557017343236,0.2,ON_FOOT
1557017343236,0.2,WALKING
1557017343236,0.06,ON_BICYCLE
1557017343236,0.04,IN_VEHICLE
1557017343236,0.02,UNKNOWN
1557017358597,0.65,STILL
1557017358597,0.2,ON_FOOT
1557017358597,0.2,WALKING
1557017358597,0.06,IN_VEHICLE
1557017358597,0.04,ON_BICYCLE
1557017358597,0.02,UNKNOWN
1557017373969,0.59,STILL
1557017373969,0.25,ON_FOOT
1557017373969,0.25,WALKING
1557017373969,0.06,IN_VEHICLE
1557017373969,0.04,ON_BICYCLE
1557017373969,0.02,UNKNOWN
1557017389315,0.9,STILL
1557017389315,0.05,ON_FOOT
1557017389315,0.05,WALKING
1557017389315,0.02,IN_VEHICLE
1557017389315,0.02,UNKNOWN
1557017404632,0.71,STILL
1557017404632,0.19,ON_FOOT
1557017404632,0.19,WALKING
1557017404632,0.05,IN_VEHICLE
1557017404632,0.01,ON_BICYCLE
1557017404632,0.01,UNKNOWN
1557017419941,0.4,UNKNOWN
1557017419941,0.1,IN_VEHICLE
1557017419941,0.1,ON_BICYCLE
1557017419941,0.1,ON_FOOT
1557017419941,0.1,WALKING
1557017419941,0.1,RUNNING
1557017419941,0.1,STILL
1557017435286,0.97,STILL
1557017435286,0.02,UNKNOWN
1557017435286,0.01,ON_FOOT
1557017435286,0.01,WALKING
1557017450668,0.97,STILL
1557017450668,0.01,IN_VEHICLE
1557017450668,0.01,ON_FOOT
1557017450668,0.01,WALKING
1557017450668,0.01,UNKNOWN
1557017465957,0.78,STILL
1557017465957,0.11,ON_FOOT
1557017465957,0.11,WALKING
1557017465957,0.07,IN_VEHICLE
1557017465957,0.02,UNKNOWN
1557017481291,0.56,STILL
1557017481291,0.2,ON_FOOT
1557017481291,0.2,WALKING
1557017481291,0.16,IN_VEHICLE
1557017481291,0.02,ON_BICYCLE
1557017481291,0.01,UNKNOWN
1557017489029,1.0,TILTING
1557017496766,0.61,STILL
1557017496766,0.24,IN_VEHICLE
1557017496766,0.07,ON_FOOT
1557017496766,0.07,WALKING
1557017496766,0.03,ON_BICYCLE
1557017496766,0.01,UNKNOWN
1557017512095,0.5,STILL
1557017512095,0.38,IN_VEHICLE
1557017512095,0.05,ON_FOOT
1557017512095,0.05,WALKING
1557017512095,0.03,ON_BICYCLE
1557017512095,0.02,UNKNOWN
1557017527413,0.96,STILL
1557017527413,0.01,IN_VEHICLE
1557017527413,0.01,ON_BICYCLE
1557017527413,0.01,ON_FOOT
1557017527413,0.01,WALKING
1557017527413,0.01,UNKNOWN
1557017542688,0.99,STILL
1557017542688,0.01,UNKNOWN
1557017557977,0.98,STILL
1557017557977,0.02,UNKNOWN
1557017573299,0.99,STILL
1557017573299,0.01,UNKNOWN
1557017588628,0.99,STILL
1557017588628,0.01,UNKNOWN
1557017603971,0.96,STILL
1557017603971,0.02,UNKNOWN
1557017603971,0.01,IN_VEHICLE
1557017603971,0.01,ON_FOOT
1557017603971,0.01,WALKING
1557017619316,0.99,STILL
1557017619316,0.01,UNKNOWN
1557017634674,0.99,STILL
1557017634674,0.01,UNKNOWN
1557017650063,0.99,STILL
1557017650063,0.01,UNKNOWN
1557017665439,0.99,STILL
1557017665439,0.01,UNKNOWN
1557017680790,0.97,STILL
1557017680790,0.02,UNKNOWN
1557017680790,0.01,IN_VEHICLE
1557017696178,0.97,STILL
1557017696178,0.01,IN_VEHICLE
1557017696178,0.01,ON_FOOT
1557017696178,0.01,WALKING
1557017696178,0.01,UNKNOWN
1557017711510,0.96,STILL
1557017711510,0.02,UNKNOWN
1557017711510,0.01,IN_VEHICLE
1557017711510,0.01,ON_FOOT
1557017711510,0.01,WALKING
1557017726905,0.98,STILL
1557017726905,0.02,UNKNOWN
1557017742256,0.99,STILL
1557017742256,0.01,UNKNOWN
1557017757656,0.98,STILL
1557017757656,0.01,ON_FOOT
1557017757656,0.01,WALKING
1557017757656,0.01,UNKNOWN
1557017765345,1.0,TILTING
1557017773033,0.9,STILL
1557017773033,0.04,ON_FOOT
1557017773033,0.04,WALKING
