timestamp,type
1558310485083,UNLOCK
1558310485564,SCREEN_ON
1558310488216,SCREEN_OFF
1558311278857,UNLOCK
1558311279361,SCREEN_ON
1558312035818,SCREEN_OFF
1558312199587,UNLOCK
1558312200054,SCREEN_ON
1558312205078,SCREEN_OFF
1558312910038,UNLOCK
1558312910413,SCREEN_ON
1558313139437,SCREEN_OFF
1558313265027,UNLOCK
1558313270140,SCREEN_ON
1558313391194,SCREEN_OFF
1558313747475,UNLOCK
1558313748019,SCREEN_ON
1558313757739,SCREEN_OFF
1558314113495,UNLOCK
1558314114114,SCREEN_ON
1558314118087,SCREEN_OFF
1558315577152,UNLOCK
1558315580566,UNLOCK
1558315583245,SCREEN_ON
1558315583505,SCREEN_OFF
1558315583766,SCREEN_ON
1558315585907,SCREEN_OFF
1558315588111,UNLOCK
1558315588435,SCREEN_ON
1558315599448,SCREEN_OFF
1558315625025,UNLOCK
1558315625391,SCREEN_ON
1558315641718,SCREEN_OFF
1558315686676,UNLOCK
1558315686998,SCREEN_ON
1558315689036,SCREEN_OFF
1558315754943,UNLOCK
1558315755324,SCREEN_ON
1558315757330,SCREEN_OFF
1558316536539,UNLOCK
1558316542773,SCREEN_ON
1558316543259,SCREEN_OFF
1558316555187,UNLOCK
1558316555468,SCREEN_ON
1558316559424,SCREEN_OFF
1558316566098,UNLOCK
1558316566372,SCREEN_ON
1558316569121,SCREEN_OFF
1558316632629,UNLOCK
1558316633071,SCREEN_ON
1558316838339,POWER_CONNECTED
1558316931808,SCREEN_OFF
1558316988541,UNLOCK
1558316989125,SCREEN_ON
1558317283104,SCREEN_OFF
1558317451860,UNLOCK
1558317452341,SCREEN_ON
1558317572499,POWER_DISCONNECTED
1558317576312,POWER_CONNECTED
1558317604041,POWER_DISCONNECTED
1558317607896,POWER_CONNECTED
1558317611445,SCREEN_OFF
1558317858985,UNLOCK
1558317859413,SCREEN_ON
1558317926728,SCREEN_OFF
1558318638271,UNLOCK
1558318644353,SCREEN_ON
1558318704639,SCREEN_OFF
1558319103403,UNLOCK
1558319103796,SCREEN_ON
1558319226701,SCREEN_OFF
1558319625377,UNLOCK
1558319625738,SCREEN_ON
1558319673027,SCREEN_OFF
1558319975642,UNLOCK
1558319981145,SCREEN_ON
