timestamp,confidence,type
1557284299401,0.61,STILL
1557284299401,0.16,IN_VEHICLE
1557284299401,0.08,ON_FOOT
1557284299401,0.08,WALKING
1557284299401,0.02,ON_BICYCLE
1557284299401,0.02,UNKNOWN
1557284336193,0.25,ON_FOOT
1557284336193,0.25,WALKING
1557284336193,0.2,STILL
1557284336193,0.17,UNKNOWN
1557284336193,0.16,IN_VEHICLE
1557284336193,0.05,ON_BICYCLE
1557284336193,0.04,RUNNING
1557284353688,0.37,STILL
1557284353688,0.21,UNKNOWN
1557284353688,0.13,IN_VEHICLE
1557284353688,0.08,ON_FOOT
1557284353688,0.08,WALKING
1557284353688,0.06,ON_BICYCLE
1557284353688,0.05,RUNNING
1557284358172,0.68,STILL
1557284358172,0.1,IN_VEHICLE
1557284358172,0.09,ON_FOOT
1557284358172,0.09,WALKING
1557284358172,0.02,ON_BICYCLE
1557284358172,0.02,UNKNOWN
1557284362706,0.55,STILL
1557284362706,0.21,IN_VEHICLE
1557284362706,0.08,ON_FOOT
1557284362706,0.08,WALKING
1557284362706,0.02,UNKNOWN
1557284362706,0.01,ON_BICYCLE
1557284379302,0.28,STILL
1557284379302,0.21,UNKNOWN
1557284379302,0.16,IN_VEHICLE
1557284379302,0.09,ON_FOOT
1557284379302,0.09,WALKING
1557284379302,0.07,ON_BICYCLE
1557284379302,0.05,RUNNING
1557284386843,1.0,TILTING
1557284394384,1.0,STILL
1557284410366,1.0,STILL
1557284425466,1.0,STILL
1557284432993,1.0,TILTING
1557284440519,0.3,STILL
1557284440519,0.26,IN_VEHICLE
1557284440519,0.14,ON_FOOT
1557284440519,0.14,WALKING
1557284440519,0.03,ON_BICYCLE
1557284440519,0.01,UNKNOWN
1557284448081,1.0,TILTING
1557284455642,0.43,STILL
1557284455642,0.21,IN_VEHICLE
1557284455642,0.16,ON_FOOT
1557284455642,0.16,WALKING
1557284455642,0.02,ON_BICYCLE
1557284455642,0.02,UNKNOWN
1557284470737,0.35,STILL
1557284470737,0.32,IN_VEHICLE
1557284470737,0.17,ON_FOOT
1557284470737,0.17,WALKING
1557284470737,0.03,ON_BICYCLE
1557284470737,0.02,UNKNOWN
1557284485801,0.4,UNKNOWN
1557284485801,0.1,IN_VEHICLE
1557284485801,0.1,ON_BICYCLE
1557284485801,0.1,ON_FOOT
1557284485801,0.1,STILL
1557284485801,0.1,WALKING
1557284485801,0.1,RUNNING
1557284508238,0.4,UNKNOWN
1557284508238,0.1,IN_VEHICLE
1557284508238,0.1,ON_BICYCLE
1557284508238,0.1,ON_FOOT
1557284508238,0.1,STILL
1557284508238,0.1,WALKING
1557284508238,0.1,RUNNING
1557284523320,0.64,STILL
1557284523320,0.13,IN_VEHICLE
1557284523320,0.09,ON_FOOT
1557284523320,0.09,WALKING
1557284523320,0.02,ON_BICYCLE
1557284523320,0.01,UNKNOWN
1557284545661,0.34,STILL
1557284545661,0.22,UNKNOWN
1557284545661,0.15,IN_VEHICLE
1557284545661,0.09,ON_FOOT
1557284545661,0.09,WALKING
1557284545661,0.06,ON_BICYCLE
1557284545661,0.05,RUNNING
1557284570694,0.23,STILL
1557284570694,0.22,UNKNOWN
1557284570694,0.17,IN_VEHICLE
1557284570694,0.11,ON_FOOT
1557284570694,0.11,WALKING
1557284570694,0.07,ON_BICYCLE
1557284570694,0.05,RUNNING
1557284578249,1.0,TILTING
1557284585803,1.0,STILL
1557284600915,1.0,STILL
1557284615993,1.0,STILL
1557284631094,1.0,STILL
1557284646161,1.0,STILL
1557284661256,1.0,STILL
1557284676332,1.0,STILL
1557284691427,1.0,STILL
1557284706498,1.0,STILL
1557284721583,1.0,STILL
1557284736668,1.0,STILL
1557284754759,1.0,STILL
1557284769846,1.0,STILL
1557284788763,1.0,STILL
1557284803863,1.0,STILL
1557284818949,1.0,STILL
1557284834012,1.0,STILL
1557284849096,1.0,STILL
1557284864183,1.0,STILL
1557284879272,1.0,STILL
1557284894369,1.0,STILL
1557284909502,1.0,STILL
1557284924575,1.0,STILL
1557284939666,1.0,STILL
1557284954749,1.0,STILL
1557284964192,1.0,TILTING
1557284973634,0.25,STILL
1557284973634,0.23,ON_FOOT
1557284973634,0.23,WALKING
1557284973634,0.21,UNKNOWN
1557284973634,0.11,IN_VEHICLE
1557284973634,0.06,ON_BICYCLE
1557284973634,0.05,RUNNING
1557284978826,0.42,STILL
1557284978826,0.23,ON_FOOT
1557284978826,0.23,WALKING
1557284978826,0.21,IN_VEHICLE
1557284978826,0.02,ON_BICYCLE
1557284978826,0.02,UNKNOWN
1557284986375,1.0,TILTING
1557284993923,1.0,STILL
1557285009054,1.0,STILL
1557287224423,1.0,STILL
1557287224579,1.0,STILL
1557287224649,1.0,STILL
1557287233398,1.0,STILL
1557286569691,1.0,TILTING
1557288130327,0.31,UNKNOWN
1557288130327,0.21,ON_BICYCLE
1557288130327,0.12,ON_FOOT
1557288130327,0.12,WALKING
1557288130327,0.11,STILL
1557288130327,0.1,IN_VEHICLE
1557288130327,0.08,RUNNING
1557288143985,1.0,TILTING
1557288157642,0.47,ON_FOOT
1557288157642,0.47,WALKING
1557288157642,0.22,UNKNOWN
1557288157642,0.08,STILL
1557288157642,0.06,IN_VEHICLE
1557288157642,0.06,ON_BICYCLE
1557288157642,0.06,RUNNING
1557288172927,0.91,ON_FOOT
1557288172927,0.91,WALKING
1557288172927,0.02,IN_VEHICLE
1557288172927,0.02,ON_BICYCLE
1557288172927,0.02,STILL
1557288172927,0.02,UNKNOWN
1557288180558,1.0,TILTING
1557288188189,0.78,ON_FOOT
1557288188189,0.78,WALKING
1557288188189,0.09,STILL
1557288188189,0.04,IN_VEHICLE
1557288188189,0.03,ON_BICYCLE
1557288188189,0.02,UNKNOWN
1557288188189,0.01,RUNNING
1557288195822,1.0,TILTING
1557288203455,0.78,ON_FOOT
1557288203455,0.78,WALKING
1557288203455,0.16,ON_BICYCLE
1557288203455,0.03,UNKNOWN
1557288203455,0.02,STILL
1557288203455,0.01,IN_VEHICLE
1557288211118,1.0,TILTING
1557288218781,0.94,ON_FOOT
1557288218781,0.94,WALKING
1557288218781,0.03,UNKNOWN
1557288218781,0.01,IN_VEHICLE
1557288218781,0.01,ON_BICYCLE
1557288218781,0.01,STILL
1557288226324,1.0,TILTING
1557288233866,0.91,ON_FOOT
1557288233866,0.91,WALKING
1557288233866,0.02,IN_VEHICLE
1557288233866,0.02,ON_BICYCLE
1557288233866,0.02,UNKNOWN
1557288233866,0.02,RUNNING
1557288233866,0.01,STILL
1557288241430,1.0,TILTING
1557288248993,0.96,ON_FOOT
1557288248993,0.96,WALKING
1557288248993,0.03,UNKNOWN
1557288248993,0.01,STILL
1557288256550,1.0,TILTING
1557288264107,0.92,ON_FOOT
1557288264107,0.92,WALKING
1557288264107,0.02,IN_VEHICLE
1557288264107,0.02,STILL
1557288264107,0.02,UNKNOWN
1557288264107,0.01,RUNNING
1557288279205,0.93,ON_FOOT
1557288279205,0.93,WALKING
1557288279205,0.02,ON_BICYCLE
1557288279205,0.02,STILL
1557288279205,0.02,RUNNING
1557288279205,0.01,UNKNOWN
1557288286730,1.0,TILTING
1557288294255,0.96,ON_FOOT
